"Emission magnitude [kgh]","Cumulative aerial emissions [kgh]","Cumulative partial emissions [kgh]","Cumulative aerial emissions fraction [%]","Cumulative partial emissions fraction [%]","Cumulative fraction of sites"
0.00000000000000,2538.48644330477400,5524.62039749359000,0.31482733559480,0.68517266440520,
19.00680297950168,2519.47964032527260,5516.35657011119750,0.31247008009084,0.68414777070782,
24.38242991984636,2495.09721040542630,5053.09040163411700,0.30944613034030,0.62669272544748,
27.47364494704620,2467.62356545837970,4531.09114764024000,0.30603880293047,0.56195350466069,
31.40183134575695,2436.22173411262300,4527.95096450566400,0.30214429527160,0.56156405389481,
47.05820431966861,2389.16352979295430,3633.84508243196000,0.29630805804334,0.45067554655795,
47.17693282012631,2341.98659697282800,2737.48335884956030,0.29045709590783,0.33950726598316,
52.46745835986199,2289.51913861296600,1740.60165001218270,0.28394999394381,0.21587232866678,
59.12585927456351,2230.39327933840240,1202.41249822827380,0.27661710595882,0.14912520967032,
63.66935229438682,2166.72392704401600,533.88429913721210,0.26872072636823,0.06621322396918,
70.62265500164484,2096.10127204237100,186.68828081116044,0.25996198654300,0.02315339291631,
87.82021966018473,2008.28105238218600,186.68828081116044,0.24907037597723,0.02315339291631,
94.85070667421650,1913.43034570796950,186.68828081116044,0.23730683264995,0.02315339291631,
103.93969262704260,1809.49065308092700,155.36287595626254,0.22441605807889,0.01926836379870,
109.82906035141436,1699.66159272951240,155.36287595626254,0.21079487426973,0.01926836379870,
112.20775112357002,1587.45384160594270,85.75166656198144,0.19687868125145,0.01063506514984,
117.55806581001072,1469.89577579593170,20.96497594798620,0.18229893325466,0.00260011139154,
136.08759151156616,1333.80818428436560,20.96497594798620,0.16542112248041,0.00260011139154,
138.70879038606313,1195.09939389830240,15.95947477086156,0.14821822623647,0.00197932076134,
145.00332072116862,1050.09607317713380,15.95947477086156,0.13023467180960,0.00197932076134,
159.59474770861632,890.50132546851750,0.00000000000000,0.11044146419624,0.00000000000000,
192.92620631270668,697.57511915581090,0.00000000000000,0.08651443332317,0.00000000000000,
251.43458694864570,446.14053220716505,0.00000000000000,0.05533109519891,0.00000000000000,
446.14053220716494,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,
