"Emission magnitude [kgh]","Cumulative aerial emissions [kgh]","Cumulative partial emissions [kgh]","Cumulative aerial emissions fraction [%]","Cumulative partial emissions fraction [%]","Cumulative fraction of sites"
43.74803820153159,64257.25002766940000,3181.73027269869640,0.90116639405588,0.04462171032018,
43.97720863693614,64213.27281903245600,3158.10898011549850,0.90054964213277,0.04429043696113,
44.02497945047850,64169.24783958198000,3158.10898011549850,0.89993222025489,0.04429043696113,
44.11340799690309,64125.13443158508000,3047.95959684397760,0.89931355822380,0.04274566306422,
44.45839590616633,64080.67603567891000,3040.60466018687400,0.89869005796030,0.04264251483203,
44.48630982337362,64036.18972585554000,2994.49826159464200,0.89806616622215,0.04199590239616,
44.82044170008916,63991.36928415544400,2994.49826159464200,0.89743758850042,0.04199590239616,
45.33011680854699,63946.03916734690000,2994.49826159464200,0.89680186291477,0.04199590239616,
45.67315152621477,63900.36601582068400,2947.68009145899030,0.89616132648894,0.04133930782451,
46.89195891722798,63853.47405690345500,2861.71150011073900,0.89550369707733,0.04013365390322,
46.89733471505559,63806.57672218840000,2838.62813775922770,0.89484599227362,0.03980992466793,
47.70766787909162,63758.86905430931000,2838.62813775922770,0.89417692307111,0.03980992466793,
47.92644137576020,63710.94261293355000,2806.18429856219840,0.89350478571173,0.03935492079575,
48.17431295148917,63662.76829998206000,2806.18429856219840,0.89282917211374,0.03935492079575,
48.23130905176183,63614.53699093030000,2765.27462567308700,0.89215275918228,0.03878118907857,
48.31409268228678,63566.22289824801600,2765.27462567308700,0.89147518526391,0.03878118907857,
48.50427051419216,63517.71862773382000,2765.27462567308700,0.89079494422439,0.03878118907857,
49.60274108349469,63468.11588665032500,2765.27462567308700,0.89009929784522,0.03878118907857,
50.43022265638027,63417.68566399394000,2765.27462567308700,0.88939204657189,0.03878118907857,
50.71799872935415,63366.96766526459400,2762.73755939064680,0.88868075942516,0.03874560836399,
51.78618291071835,63315.18148235387000,2762.73755939064680,0.88795449168579,0.03874560836399,
51.88635012491785,63263.29513222895000,2740.17827672763900,0.88722681916600,0.03842922900755,
53.47926718424522,63209.81586504471000,2740.17827672763900,0.88647680701415,0.03842922900755,
53.54161321851800,63156.27425182619500,2740.17827672763900,0.88572592049947,0.03842922900755,
53.78228616690477,63102.49196565929000,2734.80004811094840,0.88497165870227,0.03835380282783,
54.16130356869232,63048.33066209059000,2734.80004811094840,0.88421208143101,0.03835380282783,
54.56922584495413,62993.76143624564400,2734.80004811094840,0.88344678331353,0.03835380282783,
54.79215564219184,62938.96928060345000,2634.34776276693000,0.88267835874974,0.03694502446089,
54.86040769508028,62884.10887290837000,2617.54469085750220,0.88190897699503,0.03670937223931,
56.27673445312298,62827.83213845525000,2571.85522379552400,0.88111973217309,0.03606860699864,
57.57805266551796,62770.25408578972600,2571.85522379552400,0.88031223720443,0.03606860699864,
57.91727587905233,62712.33680991067400,2571.85522379552400,0.87949998484948,0.03606860699864,
58.14499636194500,62654.19181354873000,2563.26181252152130,0.87868453886197,0.03594808996053,
58.16940789453404,62596.02240565420000,2563.26181252152130,0.87786875051849,0.03594808996053,
58.33890704065309,62537.68349861354000,2563.26181252152130,0.87705058505905,0.03594808996053,
58.93179355999902,62478.75170505354600,2563.26181252152130,0.87622410474944,0.03594808996053,
59.29839175080005,62419.45331330274000,2356.85593651779500,0.87539248313718,0.03305338097579,
60.06259057930989,62359.39072272344000,2169.16034095745140,0.87455014413035,0.03042107157944,
60.65982395623460,62298.73089876720000,2167.09538791304200,0.87369942931147,0.03039211194783,
60.72478039278150,62238.00611837442000,2160.39031445544800,0.87284780352056,0.03029807762692,
62.03137074797994,62175.97474762644000,2120.02132367893200,0.87197785364454,0.02973192862687,
63.25063062907037,62112.72411699737000,2120.02132367893200,0.87109080443684,0.02973192862687,
64.51814734401700,62048.20596965335400,2099.19511766175450,0.87018597912658,0.02943985455008,
68.67712243622239,61979.52884721713000,2099.19511766175450,0.86922282687911,0.02943985455008,
69.32851887809349,61910.20032833904000,2099.19511766175450,0.86825053921763,0.02943985455008,
69.85808175677681,61840.34224658226000,2099.19511766175450,0.86727082477910,0.02943985455008,
69.86677968471467,61770.47546689754400,2038.67864577110100,0.86629098835775,0.02859115015126,
70.26644584241551,61700.20902105512500,2031.65200118685930,0.86530554687690,0.02849260600318,
72.70519705050760,61627.50382400462000,2031.65200118685930,0.86428590348682,0.02849260600318,
73.46515636706803,61554.03866763755000,1987.19681208443940,0.86325560215859,0.02786915071302,
73.85812870749673,61480.18053893006000,1957.44607287268850,0.86221978964731,0.02745191582724,
74.13429121809571,61406.04624771196000,1907.43570825693900,0.86118010413534,0.02675055279152,
74.86915870168900,61331.17708901027000,1645.94321690511740,0.86013011258195,0.02308328963596,
75.80564707700856,61255.37144193326000,1645.94321690511740,0.85906698738446,0.02308328963596,
75.87975842511733,61179.49168350814600,1626.96164644508050,0.85800282282323,0.02281708538045,
76.07246479175265,61103.41921871639000,1593.88666175301430,0.85693595567977,0.02235323010068,
76.37428019897303,61027.04493851742000,1593.88666175301430,0.85586485577033,0.02235323010068,
76.95676694677505,60950.08817157065000,1560.42719786311230,0.85478558686079,0.02188398274871,
78.77050883259591,60871.31766273805000,1560.42719786311230,0.85368088139375,0.02188398274871,
79.09580173066232,60792.22186100739000,1560.42719786311230,0.85257161390409,0.02188398274871,
79.89661491178795,60712.32524609560000,1560.42719786311230,0.85145111552723,0.02188398274871,
80.87095113833625,60631.45429495726400,1560.42719786311230,0.85031695271463,0.02188398274871,
80.91319254737081,60550.54110240989400,1560.42719786311230,0.84918219749358,0.02188398274871,
81.60695570298248,60468.93414670691000,1474.70485911792640,0.84803771269274,0.02068178236099,
82.30554358184413,60386.62860312506400,1427.05572509900460,0.84688343064848,0.02001353405803,
83.03206440499056,60303.59653872008000,1427.05572509900460,0.84571895961931,0.02001353405803,
84.08258825006310,60219.51395047001000,1398.42261730041540,0.84453975567231,0.01961197323035,
86.57718050977026,60132.93676996024400,1398.42261730041540,0.84332556668144,0.01961197323035,
88.71589298733007,60044.22087697291000,1359.85048991461960,0.84208138363058,0.01907102407781,
89.53816339676308,59954.68271357615000,1359.85048991461960,0.84082566876878,0.01907102407781,
89.83342758557119,59864.84928599058000,1290.07063529787270,0.83956581301759,0.01809240672435,
91.05341007645592,59773.79587591412000,1290.07063529787270,0.83828884780059,0.01809240672435,
