"Emission magnitude [kgh]","Cumulative aerial emissions [kgh]","Cumulative partial emissions [kgh]","Cumulative aerial emissions fraction [%]","Cumulative partial emissions fraction [%]","Cumulative fraction of sites"
175.48793953869864,50908.09696017595000,137.76031768517896,0.71781362677197,0.00194244607769,
176.57383711511830,50731.52312306083000,137.76031768517896,0.71532390285807,0.00194244607769,
178.11648384039458,50553.40663922044000,137.76031768517896,0.71281242733870,0.00194244607769,
178.40095810371366,50375.00568111672000,126.12521209924762,0.71029694067935,0.00177838892692,
178.55179131429566,50196.45388980242600,126.12521209924762,0.70777932724371,0.00177838892692,
182.52918541579623,50013.92470438663400,123.05246236009043,0.70520563181216,0.00173506258462,
184.88322055881562,49829.04148382781600,116.70678057003624,0.70259874404768,0.00164558729224,
186.86877529863497,49642.17270852918000,116.70678057003624,0.69996385959241,0.00164558729224,
186.96139480314680,49455.21131372603000,116.70678057003624,0.69732766918492,0.00164558729224,
191.01841111089115,49264.19290261515000,116.70678057003624,0.69463427409363,0.00164558729224,
191.42697220620140,49072.76593040895000,116.70678057003624,0.69193511821497,0.00164558729224,
193.99721150839142,48878.76871890055000,114.85062942932655,0.68919972148456,0.00161941521625,
194.05938556053172,48684.70933334002000,114.85062942932655,0.68646344808845,0.00161941521625,
194.66447648281977,48490.04485685720000,109.78777976854963,0.68371864279791,0.00154802809527,
194.77314074688206,48295.27171611032000,109.78777976854963,0.68097230532105,0.00154802809527,
195.27664210284348,48099.99507400747000,109.78777976854963,0.67821886838151,0.00154802809527,
199.44225956942864,47900.55281443804400,109.78777976854963,0.67540669546165,0.00154802809527,
200.85429865461117,47699.69851578343000,109.78777976854963,0.67257461252831,0.00154802809527,
200.99426245093775,47498.70425333249000,102.54268062724168,0.66974055607943,0.00144587085111,
203.87600450050783,47294.82824883198000,102.54268062724168,0.66686586653217,0.00144587085111,
212.75971486806570,47082.06853396392000,102.54268062724168,0.66386591501797,0.00144587085111,
220.43072100748200,46861.63781295644000,102.54268062724168,0.66075780089180,0.00144587085111,
229.14664308379838,46632.49116987264000,102.54268062724168,0.65752679064478,0.00144587085111,
229.35228907476213,46403.13888079788000,87.09294603323360,0.65429288075108,0.00122802672249,
230.28036772199786,46172.85851307589000,87.09294603323360,0.65104588477599,0.00122802672249,
231.07478456276215,45941.78372851312500,87.09294603323360,0.64778768737584,0.00122802672249,
231.45031118060606,45710.33341733251000,74.00023390538718,0.64452419498059,0.00104341704863,
232.83266030351730,45477.50075702900000,74.00023390538718,0.64124121120584,0.00104341704863,
