"Emission magnitude [kgh]","Log emission magnitude [log(kgh)]","Cumulative emissions [kgh]","Cumulative aerial emissions [kgh]","Cumulative partial emissions [kgh]","Cumulative simulated emissions [kgh]","Cumulative fraction of sites Rutherford","Emission magnitude Rutherford [kgh]","Log emission magnitude Rutherford [kgh]","Cumulative emissions fraction Rutherford [%]","Cumulative emissions fraction partial [%]","Cumulative emissions fraction aerial [%]","Cumulative emissions fraction [%]","Log cumulative emissions fraction","Cumulative fraction of sites","Cumulative fraction of sites inc partial detect","Log cumulative fraction of sites","Fraction of sites emitting at or above this level","Fraction of aerial detect sites at or above this level","Cumulative fraction missed partial detect sites","Partial detection correction [%]"
0.00000000000000,-INF,16376.05662655886800,5951.19525264803900,0.00000000000000,11175.81124347083100,,0.00000000000000,-INF,0.68679280469429,0.00000000000000,0.35947416179916,1.00000000000000,,0.00018618506796,0.00018618506796,-0.00000000000002,1.00000000000000,,0.00000000000000,0.00000000000000
0.00000000000000,-INF,16376.05662655886800,5951.19525264803900,0.00000000000000,11175.81124347083100,,0.00000000000000,-INF,0.68679280469429,0.00000000000000,0.35947416179916,1.00000000000000,,0.00037237013592,0.00037237013592,-0.00008086667597,0.99981381493204,,0.00000000000000,0.00000000000000
0.00006989583333,-INF,16376.05655666303400,5951.19525264803900,0.00000000000000,11175.80425388749600,,0.00698958333333,-2.15554871287057,0.68679237505081,0.00000000000000,0.35947416179916,0.99999999568357,,0.00055855520387,0.00055855520387,-0.00016174841229,0.99962762986408,,0.00000000000000,0.00000000000000
0.00020968750000,-INF,16376.05634697553400,5951.19525264803900,0.00000000000000,11175.79726430416800,,0.00698958333333,-2.15554871287057,0.68679194540734,0.00000000000000,0.35947416179916,0.99999998270253,,0.00074474027183,0.00074474027183,-0.00024264521459,0.99944144479613,,0.00000000000000,0.00000000000000
0.00083875000000,-INF,16376.05550822553200,5951.19525264803900,0.00000000000000,11175.79027472083200,,0.00698958333333,-2.15554871287057,0.68679151576386,0.00000000000000,0.35947416179916,0.99999993031493,,0.00093092533979,0.00093092533979,-0.00032355708849,0.99925525972817,,0.00000000000000,0.00000000000000
0.00167750000000,-INF,16376.05383072553200,5951.19525264803900,0.00000000000000,11175.78328487916200,,0.00698984166667,-2.15553269104003,0.68679108610484,0.00000000000000,0.35947416179916,0.99999982796194,,0.00111711040775,0.00111711040775,-0.00040448403960,0.99906907466021,,0.00000000000000,0.00000000000000
0.00272593750000,-INF,16376.05110478803500,5951.19525264803900,0.00000000000000,11175.77629475000100,,0.00699012916667,-2.15551490764464,0.68679065642856,0.00000000000000,0.35947416179916,0.99999966224434,,0.00130329547570,0.00130329547570,-0.00048542607355,0.99888288959225,,0.00000000000000,0.00000000000000
0.00356468750000,-INF,16376.04754010053100,5951.19525264803900,0.00000000000000,11175.76930361249500,,0.00699113750000,-2.15545264233206,0.68679022669178,0.00000000000000,0.35947416179916,0.99999944586643,,0.00148948054366,0.00148948054366,-0.00056638319596,0.99869670452430,,0.00000000000000,0.00000000000000
0.00440343750000,-INF,16376.04313666302700,5951.19525264803900,0.00000000000000,11175.76231179999700,,0.00699181250000,-2.15541112914445,0.68678979691484,0.00000000000000,0.35947416179916,0.99999917922423,,0.00167566561162,0.00167566561162,-0.00064735541246,0.99851051945634,,0.00000000000000,0.00000000000000
0.00573145833333,-INF,16376.03740520469400,5951.19525264803900,0.00000000000000,11175.75531732917300,,0.00699447083333,-2.15524705800378,0.68678936697726,0.00000000000000,0.35947416179916,0.99999883115773,,0.00186185067958,0.00186185067958,-0.00072834272866,0.99832433438838,,0.00000000000000,0.00000000000000
0.00657028750000,-INF,16376.03083491719600,5951.19525264803900,0.00000000000000,11175.74831696250000,,0.00700036666667,-2.15488377692954,0.68678893668379,0.00000000000000,0.35947416179916,0.99999842821723,,0.00204803574753,0.00204803574753,-0.00080934515022,0.99813814932043,,0.00000000000000,0.00000000000000
0.00685042916667,-INF,16376.02398448803400,5951.19525264803900,0.00000000000000,11175.74131164583200,,0.00700531666667,-2.15457907411027,0.68678850608977,0.00000000000000,0.35947416179916,0.99999800750775,,0.00223422081549,0.00223422081549,-0.00089036268275,0.99795196425247,,0.00000000000000,0.00000000000000
0.00685238750000,-INF,16376.01713210054000,5951.19525264803900,0.00000000000000,11175.73429620000000,,0.00701544583333,-2.15395809706949,0.68678807487787,0.00000000000000,0.35947416179916,0.99999758668612,,0.00242040588345,0.00242040588345,-0.00097139533191,0.99776577918451,,0.00000000000000,0.00000000000000
0.00692603750000,-INF,16376.01020606303600,5951.19525264803900,0.00000000000000,11175.72726680416600,,0.00702939583333,-2.15309988153102,0.68678764282888,0.00000000000000,0.35947416179916,0.99999716126476,,0.00260659095141,0.00260659095141,-0.00105244310333,0.99757959411655,,0.00000000000000,0.00000000000000
0.00699836666667,-2.15500817328623,16376.00320769636000,5951.19525264803900,0.00000000000000,11175.72021682499500,,0.00704997916667,-2.15183836301039,0.68678720953494,0.00000000000000,0.35947416179916,0.99999673109098,,0.00279277601936,0.00279277601936,-0.00113350600267,0.99739340904859,,0.00000000000000,0.00000000000000
0.00700257500000,-2.15475026191127,16375.99620512135300,5951.19525264803900,0.00000000000000,11175.71314238750000,,0.00707443750000,-2.15034134854601,0.68678677470207,0.00000000000000,0.35947416179916,0.99999630066486,,0.00297896108732,0.00297896108732,-0.00121458403555,0.99720722398064,,0.00000000000000,0.00000000000000
0.00701009583333,-2.15428856583911,16375.98919502552400,5951.19525264803900,0.00000000000000,11175.70603520833000,,0.00710717916667,-2.14834245564658,0.68678633788201,0.00000000000000,0.35947416179916,0.99999586979725,,0.00316514615528,0.00316514615528,-0.00129567720765,0.99702103891268,,0.00000000000000,0.00000000000000
