,Emission magnitude [kgh],Cumulative emissions fraction [%]
0,0.000256970958333,0.9999999824198031
1,0.001143187083333,0.9999999049112729
2,0.0021266274999989995,0.999999759521754
3,0.002985265833336,0.999999555423053
4,0.003679165416667,0.999999303594362
5,0.004213318333333001,0.9999990143677572
6,0.004587724583333,0.999998699386677
7,0.004772431666666,0.9999983718420961
8,0.0048822575,0.9999980366480029
9,0.004952146666666,0.9999976965781869
10,0.0049820991666640006,0.99999735457379
11,0.004987091249997,0.9999970121540942
12,0.004987091249997,0.999996669734396
13,0.0049920833333299995,0.999996326989051
14,0.0049920833333299995,0.999995984243709
15,0.0049920833333299995,0.9999956414983651
16,0.0049920833333299995,0.9999952987530211
17,0.0049920833333299995,0.999994956007677
18,0.0049920833333299995,0.999994613262335
19,0.0049920833333299995,0.99999427051699
20,0.0049920833333299995,0.9999939277716491
21,0.0049920833333299995,0.9999935850263061
22,0.0049920833333299995,0.9999932422809609
23,0.0049920833333299995,0.9999928995356189
24,0.0049920833333299995,0.9999925567902741
25,0.0049920833333299995,0.999992214044932
26,0.0049920833333299995,0.999991871299588
27,0.0049920833333299995,0.9999915285542439
28,0.0049920833333299995,0.9999911858089001
29,0.0049920833333299995,0.9999908430635592
30,0.0049920833333299995,0.9999905003182151
31,0.0049920833333299995,0.9999901575728712
32,0.0049920833333299995,0.999989814827528
33,0.0049920833333299995,0.9999894720821849
34,0.004992093749997,0.9999891293360671
35,0.004992099166663999,0.9999887865895489
36,0.004992104166663999,0.999988443842672
37,0.004992125833331999,0.9999881010942382
38,0.004992187499997999,0.999987758341452
39,0.004992244166667,0.9999874155846878
40,0.004992379166666,0.999987072818786
41,0.004992648750001,0.9999867300340519
42,0.004992992916666,0.9999863872250649
43,0.004993514583334,0.9999860443803812
44,0.004994307499999,0.9999857014808009
45,0.00499522625,0.999985358516797
46,0.004996694166665999,0.9999850154516852
47,0.004998273750000001,0.999984672279315
48,0.005000318333333,0.99998432896578
49,0.005002765000001,0.999983985485108
50,0.005005633333334,0.999983641806843
51,0.005008828749997999,0.9999832979094612
52,0.0050122754166670004,0.9999829537759879
53,0.005016444166667999,0.999982609356296
54,0.005021110416667,0.999982264614831
55,0.005026407083334,0.999981919514051
56,0.005031985416667,0.9999815740324751
57,0.005037909583335,0.99998122814808
58,0.005043477916667,0.999980881885097
59,0.005049772083334,0.9999805351915919
60,0.005056212083332,0.9999801880575842
61,0.005062694166668,0.999979840479528
62,0.005068736666666999,0.9999794924864058
63,0.005075837499999001,0.9999791440044531
64,0.005082190833333,0.9999787950857721
65,0.005088757500000001,0.9999784457147021
66,0.005095562500001,0.9999780958764731
67,0.005102281666668,0.999977745576642
68,0.005109294999999,0.9999773947952809
69,0.005116355,0.9999770435291631
70,0.005122850000001,0.999976691816344
71,0.0051292666666660006,0.9999763396614622
72,0.005136365833333,0.999975987017524
73,0.005143451250001,0.9999756338867758
74,0.005150097916665999,0.999975280301021
75,0.005157575833334001,0.999974926205392
76,0.005164896249999,0.9999745716082892
77,0.0051731108333330006,0.9999742164484762
78,0.0051808374999999995,0.9999738607556858
79,0.005188489166666001,0.999973504542524
80,0.005196057916668001,0.9999731478097902
81,0.0052032741666669996,0.9999727905857242
82,0.005211354999998001,0.999972432806298
83,0.005218864166665999,0.9999720745130298
84,0.005226453333332,0.999971715699915
85,0.005234196666668,0.999971356357632
86,0.005242537083334,0.9999709964448449
87,0.00525012375,0.999970636011664
88,0.005257574583332,0.9999702750698638
89,0.005264434166668,0.999969913653319
90,0.005271840833333,0.9999695517264741
91,0.005278930833333,0.9999691893116971
92,0.005286207916666999,0.9999688263984879
93,0.005292749166666,0.9999684630358668
94,0.005299658749999,0.9999680991965241
95,0.005305619583333,0.999967734945851
96,0.0053121708333340005,0.999967370244941
97,0.00531873,0.9999670050928019
98,0.00532502125,0.9999666395075829
99,0.005331483750001001,0.9999662734776511
100,0.005337709166667,0.9999659070188299
101,0.005344172083333,0.999965540116554
102,0.005351454583334,0.9999651727132679
103,0.005358182083333001,0.999964804848028
104,0.005364771250001,0.9999644365290858
105,0.005371016249998999,0.999964067782536
106,0.005378004166667,0.9999636985583049
107,0.005384977916667,0.9999633288566748
108,0.005392530416667001,0.9999629586366601
109,0.005400312916666999,0.9999625878824949
110,0.005408411250002,0.999962216573004
111,0.005416306666667999,0.9999618447223529
112,0.005425755833333001,0.9999614722236039
113,0.0054345879166669995,0.9999610991199089
114,0.005443242083334,0.9999607254201969
115,0.005452629999999999,0.9999603510739572
116,0.0054623599999999994,0.9999599760609991
117,0.005472086249999,0.9999596003825919
118,0.005481805833333999,0.999959224039082
119,0.005492004583334,0.9999588469974918
120,0.005502406666666001,0.999958469244941
121,0.005513050416665,0.9999580907630541
122,0.0055236245833329995,0.9999577115572189
123,0.0055341345833340005,0.9999573316367132
124,0.005544368333334001,0.999956951013276
125,0.005555087083332999,0.999956569652212
126,0.005565700833334,0.9999561875625892
127,0.005576954583335,0.999955804703049
128,0.00558750375,0.999955421120595
129,0.005598357083333,0.999955036791589
130,0.005609096250000999,0.999954651726372
131,0.00562053875,0.9999542658721419
132,0.00563152125,0.999953879263112
133,0.0056420879166660005,0.99995349192439
134,0.005652578333333999,0.999953103864675
135,0.005663029166668,0.999952715091372
136,0.005673242916666,0.9999523256135688
137,0.005684259166666,0.9999519353784091
138,0.0056946112500009995,0.9999515444331781
139,0.005704976666667999,0.999951152774212
140,0.005715259583335,0.9999507604058351
141,0.005725117500000001,0.9999503673598928
142,0.005735756250001,0.999949973583995
143,0.005745932083334,0.9999495791103248
