,Emission magnitude [kgh],Cumulative emissions fraction [%],Cumulative fraction of sites
0,0.000256970958333,0.9999999824198031,0.00013764624914
1,0.001143187083333,0.9999999049112729,0.00027529249828
2,0.0021266274999989995,0.999999759521754,0.00041293874742
3,0.002985265833336,0.999999555423053,0.00055058499656
4,0.003679165416667,0.999999303594362,0.0006882312457000001
5,0.004213318333333001,0.9999990143677572,0.00082587749484
6,0.004587724583333,0.999998699386677,0.00096352374398
7,0.004772431666666,0.9999983718420961,0.00110116999312
8,0.0048822575,0.9999980366480029,0.0012388162422600003
9,0.004952146666666,0.9999976965781869,0.0013764624914000003
10,0.0049820991666640006,0.99999735457379,0.0015141087405400003
11,0.004987091249997,0.9999970121540942,0.00165175498968
12,0.004987091249997,0.999996669734396,0.0017894012388200002
13,0.0049920833333299995,0.999996326989051,0.00192704748796
14,0.0049920833333299995,0.999995984243709,0.0020646937370999994
15,0.0049920833333299995,0.9999956414983651,0.00220233998624
16,0.0049920833333299995,0.9999952987530211,0.0023399862353799994
17,0.0049920833333299995,0.999994956007677,0.0024776324845099994
18,0.0049920833333299995,0.999994613262335,0.00261527873365
19,0.0049920833333299995,0.99999427051699,0.0027529249827899995
20,0.0049920833333299995,0.9999939277716491,0.0028905712319300006
21,0.0049920833333299995,0.9999935850263061,0.00302821748107
22,0.0049920833333299995,0.9999932422809609,0.0031658637302100006
23,0.0049920833333299995,0.9999928995356189,0.00330350997935
24,0.0049920833333299995,0.9999925567902741,0.0034411562284899994
25,0.0049920833333299995,0.999992214044932,0.0035788024776299996
26,0.0049920833333299995,0.999991871299588,0.00371644872677
27,0.0049920833333299995,0.9999915285542439,0.00385409497591
28,0.0049920833333299995,0.9999911858089001,0.00399174122505
29,0.0049920833333299995,0.9999908430635592,0.004129387474189999
30,0.0049920833333299995,0.9999905003182151,0.004267033723329999
31,0.0049920833333299995,0.9999901575728712,0.004404679972470001
32,0.0049920833333299995,0.999989814827528,0.00454232622161
33,0.0049920833333299995,0.9999894720821849,0.00467997247075
34,0.004992093749997,0.9999891293360671,0.004817618719889999
35,0.004992099166663999,0.9999887865895489,0.004955264969030001
36,0.004992104166663999,0.999988443842672,0.005092911218170001
37,0.004992125833331999,0.9999881010942382,0.00523055746731
38,0.004992187499997999,0.999987758341452,0.005368203716449999
39,0.004992244166667,0.9999874155846878,0.005505849965589999
40,0.004992379166666,0.999987072818786,0.005643496214730001
41,0.004992648750001,0.9999867300340519,0.00578114246387
42,0.004992992916666,0.9999863872250649,0.00591878871301
43,0.004993514583334,0.9999860443803812,0.006056434962149999
44,0.004994307499999,0.9999857014808009,0.006194081211290001
45,0.00499522625,0.999985358516797,0.00633172746043
46,0.004996694166665999,0.9999850154516852,0.006469373709569999
47,0.004998273750000001,0.999984672279315,0.006607019958710001
48,0.005000318333333,0.99998432896578,0.006744666207849999
49,0.005002765000001,0.999983985485108,0.006882312456990001
50,0.005005633333334,0.999983641806843,0.00701995870613
51,0.005008828749997999,0.9999832979094612,0.007157604955259999
52,0.0050122754166670004,0.9999829537759879,0.007295251204400001
53,0.005016444166667999,0.999982609356296,0.00743289745354
54,0.005021110416667,0.999982264614831,0.007570543702679998
55,0.005026407083334,0.999981919514051,0.00770818995182
56,0.005031985416667,0.9999815740324751,0.007845836200959999
57,0.005037909583335,0.99998122814808,0.0079834824501
58,0.005043477916667,0.999980881885097,0.008121128699240001
59,0.005049772083334,0.9999805351915919,0.008258774948379998
60,0.005056212083332,0.9999801880575842,0.00839642119752
61,0.005062694166668,0.999979840479528,0.008534067446659998
62,0.005068736666666999,0.9999794924864058,0.0086717136958
63,0.005075837499999001,0.9999791440044531,0.008809359944940002
64,0.005082190833333,0.9999787950857721,0.008947006194079999
65,0.005088757500000001,0.9999784457147021,0.00908465244322
66,0.005095562500001,0.9999780958764731,0.009222298692359998
67,0.005102281666668,0.999977745576642,0.0093599449415
68,0.005109294999999,0.9999773947952809,0.009497591190640002
69,0.005116355,0.9999770435291631,0.009635237439779998
70,0.005122850000001,0.999976691816344,0.00977288368892
71,0.0051292666666660006,0.9999763396614622,0.009910529938060002
72,0.005136365833333,0.999975987017524,0.0100481761872
73,0.005143451250001,0.9999756338867758,0.010185822436340001
74,0.005150097916665999,0.999975280301021,0.010323468685479998
75,0.005157575833334001,0.999974926205392,0.01046111493462
76,0.005164896249999,0.9999745716082892,0.010598761183760002
77,0.0051731108333330006,0.9999742164484762,0.010736407432899999
78,0.0051808374999999995,0.9999738607556858,0.01087405368204
79,0.005188489166666001,0.999973504542524,0.011011699931179997
80,0.005196057916668001,0.9999731478097902,0.01114934618032
81,0.0052032741666669996,0.9999727905857242,0.011286992429460001
82,0.005211354999998001,0.999972432806298,0.011424638678599998
83,0.005218864166665999,0.9999720745130298,0.01156228492774
84,0.005226453333332,0.999971715699915,0.011699931176880002
85,0.005234196666668,0.999971356357632,0.01183757742602
86,0.005242537083334,0.9999709964448449,0.01197522367515
87,0.00525012375,0.999970636011664,0.012112869924290002
88,0.005257574583332,0.9999702750698638,0.012250516173429999
89,0.005264434166668,0.999969913653319,0.01238816242257
90,0.005271840833333,0.9999695517264741,0.012525808671709996
91,0.005278930833333,0.9999691893116971,0.012663454920850001
92,0.005286207916666999,0.9999688263984879,0.01280110116999
93,0.005292749166666,0.9999684630358668,0.012938747419129999
94,0.005299658749999,0.9999680991965241,0.01307639366827
95,0.005305619583333,0.999967734945851,0.013214039917410002
96,0.0053121708333340005,0.999967370244941,0.013351686166550001
97,0.00531873,0.9999670050928019,0.01348933241569
98,0.00532502125,0.9999666395075829,0.013626978664829998
99,0.005331483750001001,0.9999662734776511,0.01376462491397
100,0.005337709166667,0.9999659070188299,0.01390227116311
101,0.005344172083333,0.999965540116554,0.01403991741225
102,0.005351454583334,0.9999651727132679,0.014177563661389999
103,0.005358182083333001,0.999964804848028,0.01431520991053
104,0.005364771250001,0.9999644365290858,0.014452856159670003
