,Emission magnitude [kgh],Cumulative emissions fraction [%],Cumulative fraction of sites
0,0.0,1.0,5.546311703e-05
1,0.0,1.0,0.00011092623405000002
2,0.0,1.0,0.00016638935108
3,0.0,1.0,0.00022185246811000007
4,0.0,1.0,0.00027731558514
5,0.0,1.0,0.00033277870216
6,0.0,1.0,0.00038824181918999996
7,0.0,1.0,0.00044370493622000013
8,0.0,1.0,0.0004991680532400001
9,0.0,1.0,0.0005546311702700001
10,0.0,1.0,0.0006100942873
11,0.0,1.0,0.0006655574043299999
12,0.0,1.0,0.0007210205213499999
13,0.0,1.0,0.0007764836383799999
14,0.0,1.0,0.00083194675541
15,0.0,1.0,0.00088740987243
16,0.0,1.0,0.0009428729894600002
17,0.0,1.0,0.00099833610649
18,0.0,1.0,0.0010537992235200003
19,0.0,1.0,0.0011092623405400002
20,0.0,1.0,0.0011647254575699998
21,0.0,1.0,0.0012201885746
22,0.0,1.0,0.0012756516916300003
23,0.0,1.0,0.0013311148086500003
24,0.0,1.0,0.0013865779256799998
25,0.0,1.0,0.00144204104271
26,0.0,1.0,0.00149750415973
27,0.0,1.0,0.0015529672767599998
28,0.0,1.0,0.0016084303937900003
29,0.0,1.0,0.00166389351082
30,0.0,1.0,0.00171935662784
31,0.0,1.0,0.0017748197448699998
32,0.0,1.0,0.0018302828618999996
33,0.0,1.0,0.0018857459789200005
34,0.0,1.0,0.0019412090959500003
35,0.0,1.0,0.00199667221298
36,0.0,1.0,0.0020521353300099994
37,0.0,1.0,0.0021075984470299994
38,0.0,1.0,0.0021630615640600005
39,0.0,1.0,0.00221852468109
40,0.0,1.0,0.00227398779811
41,0.0,1.0,0.0023294509151399996
42,0.0,1.0,0.0023849140321700003
43,0.0,1.0,0.0024403771492
44,0.0,1.0,0.00249584026622
45,0.0,1.0,0.0025513033832499994
46,0.0,1.0,0.0026067665002800005
47,0.0,1.0,0.0026622296173000005
48,0.0,1.0,0.00271769273433
49,0.0,1.0,0.0027731558513599997
50,0.0,1.0,0.0028286189683899995
51,0.0,1.0,0.0028840820854100003
52,0.0,1.0,0.00293954520244
53,0.0,1.0,0.00299500831947
54,0.0,1.0,0.00305047143649
55,0.0,1.0,0.0031059345535199997
56,0.0,1.0,0.00316139767055
57,0.0,1.0,0.0032168607875800006
58,0.0,1.0,0.0032723239046000005
59,0.0,1.0,0.0033277870216299995
60,0.0,1.0,0.00338325013866
61,0.0,1.0,0.00343871325568
62,0.0,1.0,0.0034941763727100008
63,0.0,1.0,0.0035496394897399997
64,0.0,1.0,0.0036051026067700003
65,0.0,1.0,0.00366056572379
66,0.0,1.0,0.00371602884082
67,0.0,1.0,0.00377149195785
68,0.0,1.0,0.00382695507488
69,0.0,1.0,0.0038824181919000006
70,0.0,1.0,0.0039378813089299995
71,0.0,1.0,0.00399334442596
72,0.0,1.0,0.004048807542980001
73,0.0,1.0,0.004104270660009999
74,0.0,1.0,0.00415973377704
75,0.0,1.0,0.004215196894070001
76,0.0,1.0,0.00427066001109
77,0.0,1.0,0.004326123128120001
78,0.0,1.0,0.004381586245149999
79,0.0,1.0,0.00443704936217
80,0.0,1.0,0.004492512479200001
81,0.0,1.0,0.0045479755962299995
82,0.0,1.0,0.00460343871326
83,0.0,1.0,0.004658901830279999
84,0.0,1.0,0.00471436494731
85,0.0,1.0,0.004769828064340001
86,0.0,1.0,0.00482529118136
87,6.89625e-06,0.9999999999290321,0.00488075429839
88,1.0344375e-05,0.999999999821876,0.004936217415419999
89,1.0344375e-05,0.999999999714721,0.00499168053245
90,1.0344375e-05,0.999999999607566,0.005047143649470001
91,1.7240625e-05,0.999999999430895,0.005102606766499999
92,2.068875e-05,0.9999999992200681,0.00515806988353
93,2.068875e-05,0.999999999009242,0.0052135330005499995
94,2.068875e-05,0.999999998798414,0.00526899611758
95,2.068875e-05,0.9999999985875891,0.005324459234610001
96,2.068875e-05,0.9999999983767621,0.005379922351639999
97,2.7585e-05,0.9999999980981101,0.00543538546866
98,3.1033125e-05,0.99999999778784,0.005490848585690001
99,3.7929375e-05,0.9999999974039901,0.005546311702719999
100,5.1721875e-05,0.9999999968763161,0.005601774819740001
101,5.8618125e-05,0.999999996282015,0.005657237936769999
102,7.2410625e-05,0.9999999955496859,0.0057127010538
103,7.930687500000002e-05,0.9999999947535299,0.005768164170830001
104,8.620312499999999e-05,0.999999993884847,0.0058236272878499995
105,9.309937500000002e-05,0.9999999929527901,0.00587909040488
106,0.00010344375000000002,0.9999999919234052,0.005934553521909999
107,0.00010344375000000002,0.9999999908940229,0.00599001663894
108,0.00010344375000000002,0.9999999898646411,0.006045479755960001
