"Emission magnitude [kgh]","Log emission magnitude [log(kgh)]","Cumulative emissions [kgh]","Cumulative aerial emissions [kgh]","Cumulative partial emissions [kgh]","Cumulative simulated emissions [kgh]","Cumulative fraction of sites Rutherford","Emission magnitude Rutherford [kgh]","Log emission magnitude Rutherford [kgh]","Cumulative emissions fraction Rutherford [%]","Cumulative emissions fraction partial [%]","Cumulative emissions fraction aerial [%]","Cumulative emissions fraction [%]","Log cumulative emissions fraction","Cumulative fraction of sites","Cumulative fraction of sites inc partial detect","Log cumulative fraction of sites","Fraction of sites emitting at or above this level","Fraction of aerial detect sites at or above this level","Cumulative fraction missed partial detect sites","Partial detection correction [%]"
0.00000000000000,NAN,15748.95642472464200,10217.96851862045900,2157.23777808957630,3517.12798943208300,,0.00000000000000,NAN,0.22443063597937,0.13702809703065,0.64760054008469,1.00000000000000,,0.00021929824561,0.00021801205558,0.00000000000000,1.00000000000000,0.01754385964912,0.00590013984236,0.00000000000000
0.00000000000000,NAN,15748.95642472464200,10217.96851862045900,2157.23777808957630,3517.12798943208300,,0.00000000000000,NAN,0.22443063597937,0.13702809703065,0.64760054008469,1.00000000000000,,0.00043859649123,0.00043602411115,-0.00009469175508,0.99978198794442,0.01754385964912,0.00590013984236,0.00000000000000
0.00119136000000,NAN,15748.95523336464000,10217.96851862045900,2157.23777808957630,3517.12468009874960,,0.00330933333333,-2.48025948622899,0.22443042478867,0.13702809703065,0.64760054008469,0.99999992545517,,0.00065789473684,0.00065403616673,-0.00018940416086,0.99956397588885,0.01754385964912,0.00590013984236,0.00000000000000
0.00205193666667,NAN,15748.95318142797600,10217.96851862045900,2157.23777808957630,3517.12137025583300,,0.00330984291667,-2.48019283929173,0.22443021356236,0.13702809703065,0.64760054008469,0.99999979561728,,0.00087719298246,0.00087204822231,-0.00028413722637,0.99934596383327,0.01754385964912,0.00590013984236,0.00000000000000
0.00251612125000,NAN,15748.95066530672600,10217.96851862045900,2157.23777808957630,3517.11805593125000,,0.00331432458333,-2.47960984578063,0.22443000204178,0.13702809703065,0.64760054008469,0.99999963604075,,0.00109649122807,0.00109006027788,-0.00037889096060,0.99912795177769,0.01754385964912,0.00590013984236,0.00000000000000
0.00268552458333,NAN,15748.94797978214200,10217.96851862045900,2157.23777808957630,3517.11473856625000,,0.00331736500000,-2.47921489419263,0.22442979032630,0.13702809703065,0.64760054008469,0.99999946599332,,0.00131578947368,0.00130807233346,-0.00047366537259,0.99890993972212,0.01754385964912,0.00590013984236,0.00000000000000
0.00285581791667,NAN,15748.94512396422400,10217.96851862045900,2157.23777808957630,3517.11141253875000,,0.00332602750000,-2.47808808450198,0.22442957803340,0.13702809703065,0.64760054008469,0.99999928444971,,0.00153508771930,0.00152608438904,-0.00056846047136,0.99869192766654,0.01754385964912,0.00590013984236,0.00000000000000
0.00292809750000,NAN,15748.94219586672400,10217.96851862045900,2157.23777808957630,3517.10807292624940,,0.00333961250000,-2.47632374156210,0.22442936487698,0.13702809703065,0.64760054008469,0.99999909761118,,0.00175438596491,0.00174409644461,-0.00066327626594,0.99847391561096,0.01754385964912,0.00590013984236,0.00000000000000
0.00293710500000,NAN,15748.93925876172600,10217.96851862045900,2157.23777808957630,3517.10472122541600,,0.00335170083333,-2.47475379448515,0.22442915093827,0.13702809703065,0.64760054008469,0.99999891019367,,0.00197368421053,0.00196210850019,-0.00075811276537,0.99825590355539,0.01754385964912,0.00590013984236,0.00000000000000
0.00304869375000,NAN,15748.93621006797500,10217.96851862045900,2157.23777808957630,3517.10135665916640,,0.00336456625000,-2.47308529580785,0.22442893620190,0.13702809703065,0.64760054008469,0.99999871571459,,0.00219298245614,0.00218012055577,-0.00085296997870,0.99803789149981,0.01754385964912,0.00590013984236,0.00000000000000
0.00309307666667,NAN,15748.93311699130800,10217.96851862045900,2157.23777808957630,3517.09798410541600,,0.00337255375000,-2.47204946125700,0.22442872097090,0.13702809703065,0.64760054008469,0.99999851846268,,0.00241228070175,0.00239813261134,-0.00094784791497,0.99781987944423,0.01754385964912,0.00590013984236,0.00000000000000
0.00319734750000,NAN,15748.92991964380800,10217.96851862045900,2157.23777808957630,3517.09460687375000,,0.00337723166667,-2.47144368088213,0.22442850544047,0.13702809703065,0.64760054008469,0.99999831444415,,0.00263157894737,0.00261614466692,-0.00104274658325,0.99760186738866,0.01754385964912,0.00590013984236,0.00000000000000
0.00330120500000,NAN,15748.92661843880700,10217.96851862045900,2157.23777808957630,3517.09122712166600,,0.00337975208333,-2.47111757436142,0.22442828974678,0.13702809703065,0.64760054008469,0.99999810388042,,0.00285087719298,0.00283415672250,-0.00113766599259,0.99738385533308,0.01754385964912,0.00590013984236,0.00000000000000
0.00330479458333,NAN,15748.92331364422500,10217.96851862045900,2157.23777808957630,3517.08784512166630,,0.00338200000000,-2.47082639673828,0.22442807391874,0.13702809703065,0.64760054008469,0.99999789309117,,0.00307017543860,0.00305216877807,-0.00123260615207,0.99716584327750,0.01754385964912,0.00590013984236,0.00000000000000
0.00333935541667,NAN,15748.91997428880900,10217.96851862045900,2157.23777808957630,3517.08446312166640,,0.00338200000000,-2.47082639673828,0.22442785809070,0.13702809703065,0.64760054008469,0.99999767989290,,0.00328947368421,0.00327018083365,-0.00132756707075,0.99694783122193,0.01754385964912,0.00590013984236,0.00000000000000
0.00334013000000,NAN,15748.91663415880800,10217.96851862045900,2157.23777808957630,3517.08108112166660,,0.00338200000000,-2.47082639673828,0.22442764226266,0.13702809703065,0.64760054008469,0.99999746664195,,0.00350877192982,0.00348819288922,-0.00142254875772,0.99672981916635,0.01754385964912,0.00590013984236,0.00000000000000
0.00334139791667,NAN,15748.91329276089200,10217.96851862045900,2157.23777808957630,3517.07769912166620,,0.00338200000000,-2.47082639673828,0.22442742643462,0.13702809703065,0.64760054008469,0.99999725330336,,0.00372807017544,0.00370620494480,-0.00151755122207,0.99651180711078,0.01754385964912,0.00590013984236,0.00000000000000
0.00337767708333,-2.47138615274680,15748.90991508380800,10217.96851862045900,2157.23777808957630,3517.07431712166640,,0.00338200000000,-2.47082639673828,0.22442721060658,0.13702809703065,0.64760054008469,0.99999703775705,,0.00394736842105,0.00392421700038,-0.00161257447288,0.99629379505520,0.01754385964912,0.00590013984236,0.00000000000000
0.00338008500000,-2.47107417343416,15748.90653499880900,10217.96851862045900,2157.23777808957630,3517.07093512166650,,0.00338200000000,-2.47082639673828,0.22442699477854,0.13702809703065,0.64760054008469,0.99999682204934,,0.00416666666667,0.00414222905595,-0.00170761851926,0.99607578299962,0.01754385964912,0.00590013984236,0.00000000000000
0.00338114458333,-2.47093729242271,15748.90315385422400,10217.96851862045900,2157.23777808957630,3517.06755312166660,,0.00338200000000,-2.47082639673828,0.22442677895050,0.13702809703065,0.64760054008469,0.99999660627350,,0.00438596491228,0.00436024111153,-0.00180268337030,0.99585777094405,0.01754385964912,0.00590013984236,0.00000000000000
0.00338127333333,-2.47092072763318,15748.89977258089300,10217.96851862045900,2157.23777808957630,3517.06417112166630,,0.00338200000000,-2.47082639673828,0.22442656312246,0.13702809703065,0.64760054008469,0.99999639048955,,0.00460526315789,0.00457825316711,-0.00189776903513,0.99563975888847,0.01754385964912,0.00590013984236,0.00000000000000
0.00338127333333,-2.47092072763318,15748.89639130755900,10217.96851862045900,2157.23777808957630,3517.06078912166640,,0.00338200000000,-2.47082639673828,0.22442634729443,0.13702809703065,0.64760054008469,0.99999617470560,,0.00482456140351,0.00479626522268,-0.00199297053416,0.99542174683289,0.01754385964912,0.00590013984236,0.00000000000000
0.00338127333333,-2.47092072763318,15748.89301003422600,10217.96851862045900,2157.23777808957630,3517.05740712166650,,0.00338200000000,-2.47082639673828,0.22442613146639,0.13702809703065,0.64760054008469,0.99999595892165,,0.00504385964912,0.00501427727826,-0.00208828803329,0.99520373477732,0.01754385964912,0.00590013984236,0.00000000000000
0.00338127333333,-2.47092072763318,15748.88962876089100,10217.96851862045900,2157.23777808957630,3517.05402512166670,,0.00338200000000,-2.47082639673828,0.22442591563835,0.13702809703065,0.64760054008469,0.99999574313771,,0.00526315789474,0.00523228933384,-0.00218381674594,0.99498572272174,0.01754385964912,0.00590013984236,0.00000000000000
0.00338127333333,-2.47092072763318,15748.88624748755700,10217.96851862045900,2157.23777808957630,3517.05064312166630,,0.00338200000000,-2.47082639673828,0.22442569981031,0.13702809703065,0.64760054008469,0.99999552735376,,0.00548245614035,0.00545030138941,-0.00228060711770,0.99476771066616,0.01754385964912,0.00590013984236,0.00000000000000
0.00338137791667,-2.47090702446655,15748.88286610964100,10217.96851862045900,2157.23777808957630,3517.04726112166650,,0.00338200000000,-2.47082639673828,0.22442548398227,0.13702809703065,0.64760054008469,0.99999531156347,,0.00570175438596,0.00566831344499,-0.00238106647765,0.99454969861059,0.01754385964912,0.00590013984236,0.00000000000000
0.00338185541667,-2.47084500299126,15748.87948425422500,10217.96851862045900,2157.23777808957630,3517.04387912166660,,0.00338200000000,-2.47082639673828,0.22442526815423,0.13702809703065,0.64760054008469,0.99999509574420,,0.00592105263158,0.00588632550057,-0.00248523286597,0.99433168655501,0.01754385964912,0.00590013984236,0.00000000000000
0.00338200000000,-2.47082639673828,15748.87610225422600,10217.96851862045900,2157.23777808957630,3517.04049712166670,,0.00338200000000,-2.47082639673828,0.22442505232619,0.13702809703065,0.64760054008469,0.99999487991616,,0.00614035087719,0.00610433755614,-0.00259961527564,0.99411367449943,0.01754385964912,0.00590013984236,0.00000000000000
0.00338200000000,-2.47082639673828,15748.87272025422500,10217.96851862045900,2157.23777808957630,3517.03711512166640,,0.00338200000000,-2.47082639673828,0.22442483649815,0.13702809703065,0.64760054008469,0.99999466408812,,0.00635964912281,0.00632234961172,-0.00272376995472,0.99389566244386,0.01754385964912,0.00590013984236,0.00000000000000
